repo,word_count,forks,stars,topics,about_text
vizzuhq/ipyvizzu-story,463,28,336,9,"Build, present and share animated data stories in Jupyter Notebook and similar environments."
vonj/snippets.org,67,45,124,3,The SNIPPETS C and C++ Source Code Archives
vs4vijay/typescript-express-template,376,1,8,16,"A Microservice Template in NodeJS, TypeScript, and Express"
w3cj/express-api-starter-ts,183,142,509,0,A basic starter for an express.js API with Typescript
w3tecch/express-graphql-typescript-boilerplate,1371,73,181,13,A starter kit for building amazing GraphQL API's with TypeScript and express by @w3tecch
wms2537/nodejs-jwt-auth,939,10,25,0,A REST API jwt authentication backend using nodejs and express.
worldbank/template,2668,69,45,7,🎩  Project Template 
xtreamsrl/jupytemplate,511,37,147,5,Templates for jupyter notebooks
yeasin2002/react-ts-starter,1282,21,103,6,A production-ready full-stack starter template combining React 19 with TypeScript on the frontend and Nitro for the backend API. Built with Vite for blazing-fast development and optimized builds.
YounesseElkars/Express-Prisma-TypeScript,219,7,30,6,"🌐 Express RESTful API with TypeScript and Prisma , managing both authentication and CRUD operations."
youssefbennour/AspNetCore.Starter,542,13,114,13,A modular-monolith ASP.NET Core starter inspired by Evolutionary-architecture
zestgeek/Auth-using-Vuejs-express-jwt-nodejs,92,6,19,14,"Login and signup form and authentication using Vue.js, express, mongodb, JWT and  bootstrap-vue"
zmts/supra-api-nodejs,435,94,348,16,❤️ Node.js REST API boilerplate. Old but still good for references
